rank_overall,theologian,sermon_id,sermon_key,cluster,overall_score,n_scores,aesthetics.dramaturgy.b1_narrative_arc.score,aesthetics.dramaturgy.b2_integration_text_and_context.score,aesthetics.dramaturgy.b3_openness_vs_closedness.score,aesthetics.poetics.a1_imagery.score,aesthetics.poetics.a2_carefulness_and_precision.score,aesthetics.poetics.a3_musicality_and_rhythm.score,aristoteles.ethos.score,aristoteles.logos.score,aristoteles.orthodoxy_logos.score,aristoteles.orthopathy_pathos.score,aristoteles.orthopraxy_ethos.score,aristoteles.pathos.score,dekker.1_specific_bible_passage.score,dekker.2_exegesis_original_context.score,dekker.3_application_concrete_contemporary.score,dekker.4_interwoveness_exposition_application.score,dekker.5_three_parts_misery_redemption_gratitude.score,dekker.6_two_ways_seriousness_of_choice.score,dekker.7_christocentric_grace.score,dekker.8_depth_and_length.score,kolb.abstract_conceptualization.score,kolb.active_experimentation.score,kolb.concrete_experience.score,kolb.integrality.balance_between_phases.score,kolb.integrality.cycle_completeness.score,kolb.integrality.holistic_learning.score,kolb.reflective_observation.score,metaphor.coherentie.score,narrative.coherentie.score,schulz.appeal_aspect.score,schulz.factual_content.score,schulz.relational_aspect.score,schulz.self_revelation.score,transactional.adult.score,transactional.child.free_FC.score,transactional.child.freedom_AC.score,transactional.parent.freedom_CP.score,transactional.parent.nurturing_NP.score
11,rutledge,237,rutledge_237,7,7.184210526315789,38,8,8,6,7,8,7,8,7,8,6,8,6,6,5,7,6,7,4,7,5,8,5,8,6,6,6,7,10,10,9,7,8,8,9,7,8,9,8
12,rutledge,78,rutledge_78,7,7.184210526315789,38,8,9,7,8,8,7,7,6,8,9,7,8,6,7,5,6,7,4,6,5,7,5,7,6,6,7,8,10,10,7,7,6,8,8,7,9,9,8
13,keller,10,keller_10,9,7.157894736842105,38,7,8,6,7,8,6,7,8,9,6,7,6,5,6,7,4,7,5,8,8,8,5,6,6,7,7,8,10,9,8,8,7,6,9,7,9,8,9
14,keller,20,keller_20,9,7.157894736842105,38,8,9,5,6,8,6,7,8,9,6,7,6,7,6,5,7,8,6,8,8,8,4,5,5,6,6,7,10,10,8,8,7,7,9,7,8,9,8
15,rutledge,122,rutledge_122,7,7.157894736842105,38,8,8,6,8,7,7,7,7,8,8,7,8,6,7,6,4,7,5,8,5,8,5,8,6,7,7,7,10,10,7,7,6,8,9,6,9,8,7
16,rutledge,217,rutledge_217,7,7.157894736842105,38,8,8,7,7,8,6,7,6,7,8,7,8,6,7,8,7,6,5,8,5,6,5,8,6,6,7,7,10,10,8,6,6,7,9,7,8,9,8
17,rutledge,310,rutledge_310,7,7.157894736842105,38,8,8,6,7,8,7,8,7,8,8,7,8,6,5,7,6,7,8,8,5,7,5,8,6,6,7,7,7,10,7,7,6,8,9,6,9,8,7
18,rutledge,32,rutledge_32,7,7.157894736842105,38,8,8,6,8,7,7,7,7,8,8,7,8,7,5,7,6,7,8,7,5,7,5,7,6,6,6,8,10,10,8,7,5,6,9,7,9,8,7
19,rutledge,73,rutledge_73,7,7.157894736842105,38,8,8,6,8,7,7,6,7,8,8,5,8,4,6,7,5,7,4,8,7,8,5,8,6,7,7,7,10,10,8,7,6,6,9,8,9,9,8
20,rutledge,175,rutledge_175,7,7.131578947368421,38,7,8,6,7,8,7,6,7,8,8,6,8,6,5,7,6,8,4,7,7,8,4,7,6,6,6,8,10,10,8,8,6,7,8,7,9,8,9
21,rutledge,269,rutledge_269,7,7.131578947368421,38,8,9,7,8,8,7,8,7,7,9,7,8,6,4,8,5,7,4,6,3,6,5,8,6,6,7,7,10,10,7,7,6,8,9,7,9,9,8
22,rutledge,35,rutledge_35,7,7.131578947368421,38,8,9,7,8,8,7,7,6,8,8,7,8,4,3,7,5,7,6,6,5,8,5,8,6,7,7,7,10,10,7,7,6,8,9,7,8,9,8
23,rutledge,84,rutledge_84,7,7.131578947368421,38,8,8,6,7,8,7,7,7,8,8,6,8,5,6,7,4,7,6,8,4,7,5,7,6,6,6,8,10,10,8,8,6,7,9,7,9,9,8
24,keller,13,keller_13,9,7.105263157894737,38,7,8,6,7,8,6,8,7,8,7,7,7,6,7,5,6,7,4,8,8,7,5,7,6,7,7,8,10,7,8,7,6,6,9,7,9,8,9
25,keller,16,keller_16,9,7.105263157894737,38,7,8,6,6,8,6,7,8,9,6,7,6,6,5,7,4,8,7,8,9,8,5,6,6,7,7,8,10,9,8,7,6,6,9,6,9,8,7
26,rutledge,222,rutledge_222,7,7.105263157894737,38,8,8,6,8,7,7,7,7,8,8,7,8,6,5,7,6,8,4,8,4,8,4,7,5,6,6,6,10,10,7,7,6,8,9,8,9,8,9
27,rutledge,236,rutledge_236,7,7.105263157894737,38,8,9,7,7,8,6,7,7,8,7,6,8,4,5,7,6,6,4,7,7,7,5,8,6,6,7,7,10,10,8,7,6,8,9,7,8,8,9
28,rutledge,274,rutledge_274,7,7.105263157894737,38,8,8,6,8,7,7,7,6,8,9,7,8,6,7,8,5,7,4,7,5,7,5,8,6,6,7,7,10,10,8,7,6,6,8,7,9,8,7
29,rutledge,37,rutledge_37,7,7.105263157894737,38,8,9,7,8,8,7,7,7,8,9,6,8,4,5,7,6,7,6,7,8,7,4,7,6,6,7,8,7,10,7,7,6,8,9,6,8,7,8
30,rutledge,58,rutledge_58,7,7.105263157894737,38,8,8,6,8,7,7,6,7,8,8,6,8,7,6,5,7,6,4,6,8,7,5,8,6,7,7,7,10,10,8,7,5,6,9,8,9,8,7
31,keller,22,keller_22,9,7.078947368421052,38,7,8,5,6,8,6,7,8,9,6,8,6,6,5,7,6,8,5,7,8,7,6,7,6,7,7,8,10,7,7,7,6,6,9,7,9,8,9
32,keller,24,keller_24,9,7.078947368421052,38,8,8,6,7,8,6,6,8,9,7,6,6,6,4,7,5,8,6,8,9,7,5,6,6,6,6,8,10,10,8,7,6,6,9,7,9,8,7
33,keller,40,keller_40,9,7.078947368421052,38,7,8,6,7,8,6,7,8,9,6,7,6,4,5,6,7,7,5,8,8,7,5,6,6,6,6,8,10,9,8,8,6,7,9,7,9,9,8
34,rutledge,08,rutledge_08,7,7.078947368421052,38,8,9,7,8,7,6,6,7,8,8,6,8,6,4,8,7,7,6,5,5,7,5,8,6,6,6,7,10,10,8,8,6,7,9,6,9,8,7
35,rutledge,112,rutledge_112,7,7.078947368421052,38,8,8,6,7,8,7,8,7,8,6,8,6,4,6,7,5,7,4,8,5,8,5,8,6,6,6,7,10,10,8,7,6,8,9,7,8,9,8
36,rutledge,123,rutledge_123,7,7.078947368421052,38,8,8,6,7,8,7,8,6,7,8,7,7,4,5,7,6,7,5,6,5,7,5,7,6,7,7,8,10,10,6,7,7,8,9,7,9,8,9
37,rutledge,212,rutledge_212,6,7.078947368421052,38,7,8,6,7,8,6,8,7,8,6,8,6,6,7,8,5,7,6,7,8,7,4,6,5,6,6,8,10,10,8,8,6,7,9,6,9,8,7
38,rutledge,266,rutledge_266,7,7.078947368421052,38,8,9,7,8,8,7,8,7,8,9,7,8,5,4,7,6,6,4,7,3,7,4,8,6,6,6,7,10,10,8,7,6,8,8,8,7,9,8
39,rutledge,277,rutledge_277,7,7.078947368421052,38,8,9,6,8,8,7,8,7,8,8,6,8,5,4,7,6,6,3,7,4,7,5,8,6,7,7,6,10,10,8,7,6,8,8,7,9,8,9
40,rutledge,321,rutledge_321,7,7.078947368421052,38,8,8,6,8,7,7,7,7,8,8,7,8,5,4,7,6,6,4,7,5,7,5,8,6,6,7,7,10,10,7,7,6,8,9,7,9,8,9
41,rutledge,347,rutledge_347,7,7.078947368421052,38,8,9,6,8,7,7,7,7,8,8,7,8,4,5,7,6,7,5,7,8,7,5,8,6,6,7,7,10,10,8,7,5,6,8,6,7,8,9
42,rutledge,363,rutledge_363,7,7.078947368421052,38,8,8,6,7,8,7,8,6,7,9,8,8,6,5,8,6,7,7,7,4,7,4,8,6,6,7,7,7,10,7,7,6,8,9,6,9,8,7
43,rutledge,62,rutledge_62,6,7.078947368421052,38,8,8,6,7,8,7,8,7,8,6,8,6,4,5,7,6,8,5,7,7,7,5,7,6,6,6,8,10,10,8,8,6,7,9,6,9,8,7
44,keller,27,keller_27,9,7.052631578947368,38,7,8,6,6,8,5,7,8,8,6,7,6,6,5,7,6,7,6,6,8,8,6,7,7,7,7,8,10,9,8,7,6,6,9,6,9,8,7
45,keller,46,keller_46,9,7.052631578947368,38,7,8,5,7,8,6,6,8,9,7,6,7,5,6,7,4,8,5,8,9,7,5,7,6,7,7,8,7,9,8,7,6,6,9,7,9,8,9
46,rutledge,01,rutledge_01,7,7.052631578947368,38,8,9,7,7,8,7,8,7,8,6,7,6,6,5,7,6,6,5,7,5,7,6,7,7,7,7,8,7,9,7,7,6,8,9,7,9,8,7
47,rutledge,107,rutledge_107,7,7.052631578947368,38,8,9,5,8,7,6,6,7,8,8,6,8,6,5,8,7,7,6,7,7,7,5,8,6,7,7,7,7,10,8,7,5,6,9,6,9,8,7
48,rutledge,131,rutledge_131,9,7.052631578947368,38,7,8,6,7,8,6,8,7,9,6,8,6,6,5,4,6,7,7,8,5,8,5,7,6,7,7,8,10,9,8,7,5,6,9,7,8,8,9
49,rutledge,137,rutledge_137,7,7.052631578947368,38,8,7,6,7,8,7,6,7,8,8,6,8,4,5,6,7,8,5,7,5,7,5,8,6,6,7,7,10,10,8,7,7,6,8,7,9,8,9
50,rutledge,53,rutledge_53,7,7.052631578947368,38,8,8,6,8,7,7,6,7,8,9,6,8,5,6,7,4,8,7,6,5,7,5,8,6,6,7,7,10,10,8,8,6,7,9,7,6,7,8
51,brueggemann,121,brueggemann_121,7,7.026315789473684,38,7,8,6,8,7,9,8,7,8,8,7,8,3,5,7,6,7,5,4,4,7,5,7,6,6,7,8,10,10,8,7,6,6,7,9,9,8,9
52,rutledge,02,rutledge_02,7,7.026315789473684,38,7,8,6,8,8,7,6,7,8,9,6,8,6,5,7,6,7,6,7,5,7,4,7,6,6,6,8,10,10,8,7,6,6,9,7,8,7,8
53,rutledge,113,rutledge_113,9,7.026315789473684,38,7,8,6,7,8,6,8,7,9,6,8,6,5,4,7,5,6,6,7,7,8,5,7,6,7,7,8,7,10,9,8,6,7,9,6,9,7,8
54,rutledge,114,rutledge_114,7,7.026315789473684,38,7,8,6,8,7,8,7,7,8,8,7,8,6,4,7,6,5,4,7,7,8,5,8,6,7,7,7,10,9,8,7,5,6,8,7,8,7,9
55,rutledge,129,rutledge_129,7,7.026315789473684,38,8,8,6,7,8,7,8,6,7,8,7,7,6,5,7,6,7,4,6,4,8,5,7,6,6,7,6,10,10,8,7,6,8,7,8,9,8,9
56,rutledge,169,rutledge_169,7,7.026315789473684,38,8,8,7,8,7,7,6,7,8,8,6,8,6,5,7,6,7,4,8,7,7,4,7,5,6,6,8,10,10,8,7,6,6,9,6,9,8,7
57,rutledge,43,rutledge_43,7,7.026315789473684,38,8,8,6,8,7,7,7,6,7,8,7,8,6,5,7,6,7,4,7,5,7,4,8,5,6,6,7,10,10,8,7,6,8,9,8,9,8,7
58,rutledge,45,rutledge_45,7,7.026315789473684,38,8,9,7,8,8,7,6,7,8,8,6,8,5,6,7,6,7,6,7,5,7,5,7,6,6,7,8,10,10,6,7,5,6,9,6,8,7,8
59,keller,23,keller_23,9,7,38,7,8,6,6,8,5,7,8,9,6,7,6,6,5,7,7,8,6,8,8,7,5,6,6,6,6,8,10,9,8,7,6,6,9,6,8,8,7
60,keller,32,keller_32,9,7,38,8,8,6,6,7,5,6,7,8,5,6,6,7,6,5,7,8,6,8,8,8,5,6,6,6,7,8,10,10,8,7,5,6,9,8,9,8,7
61,keller,34,keller_34,9,7,38,7,8,6,6,8,5,7,8,9,6,8,6,5,6,7,5,8,6,8,8,8,6,5,5,6,6,7,10,10,7,7,6,8,9,6,8,7,8
62,rutledge,106,rutledge_106,7,7,38,8,7,6,7,8,7,6,7,8,8,6,8,6,7,5,6,6,4,7,4,7,5,8,6,6,6,7,10,10,7,7,8,6,9,7,9,8,9
63,rutledge,120,rutledge_120,6,7,38,7,8,6,6,8,7,7,8,9,6,7,6,6,4,7,6,7,5,8,4,8,4,7,6,6,6,8,10,10,8,8,6,7,9,7,9,8,7
64,rutledge,172,rutledge_172,7,7,38,8,8,7,8,7,7,7,7,8,8,6,8,5,6,7,4,6,5,7,6,8,5,7,6,6,7,8,7,10,7,8,6,7,9,6,9,8,7
65,rutledge,213,rutledge_213,9,7,38,7,8,5,6,8,6,8,7,8,6,8,6,6,5,7,6,7,4,7,5,8,6,7,6,7,7,8,10,10,6,7,7,6,9,7,8,9,8
66,rutledge,230,rutledge_230,7,7,38,7,8,6,8,7,6,7,7,8,8,7,8,6,5,7,6,7,4,7,4,7,5,8,6,7,7,7,7,10,6,7,7,8,9,7,8,9,8
67,rutledge,27,rutledge_27,7,7,38,8,8,6,7,8,7,8,7,8,9,7,8,6,4,7,5,6,4,7,4,7,5,7,6,6,6,8,10,10,8,7,6,8,9,6,8,7,8
68,rutledge,270,rutledge_270,7,7,38,8,9,7,8,8,7,7,6,7,9,7,8,6,4,8,5,7,4,6,4,6,4,8,5,6,6,7,10,9,7,7,6,8,9,7,9,9,8
69,rutledge,323,rutledge_323,7,7,38,7,8,7,8,7,6,7,7,8,8,7,8,5,4,7,5,6,4,7,7,7,5,7,6,6,7,8,10,9,8,7,5,6,9,7,9,9,8
70,rutledge,351,rutledge_351,7,7,38,8,8,7,7,8,6,7,6,8,8,7,8,5,6,4,5,6,3,7,7,6,5,7,6,6,7,8,10,10,8,7,6,8,7,8,9,8,9
71,solle,19,solle_19,7,7,38,8,9,7,8,7,6,7,6,6,9,7,8,4,5,6,5,7,6,5,6,7,4,7,6,6,6,8,10,9,8,7,6,8,9,7,9,9,8
72,keller,15,keller_15,9,6.973684210526316,38,7,8,6,6,8,5,7,8,9,6,7,6,6,7,5,7,6,4,8,8,8,5,6,6,7,7,8,10,10,8,8,7,6,9,5,6,7,8
73,keller,33,keller_33,9,6.973684210526316,38,7,8,6,6,8,5,7,8,9,6,7,6,6,5,4,7,8,5,7,8,8,5,6,6,7,7,7,10,10,8,7,6,6,9,6,9,8,7
74,keller,39,keller_39,9,6.973684210526316,38,7,8,6,6,8,5,7,8,9,6,7,6,5,6,4,5,7,6,8,8,8,5,6,6,7,7,7,10,9,8,8,6,7,9,7,8,7,8
75,keller,45,keller_45,9,6.973684210526316,38,7,8,5,6,8,6,7,8,8,6,7,6,6,5,7,6,6,4,8,8,8,4,6,6,6,7,8,10,10,8,8,7,6,9,6,9,7,8
76,rutledge,74,rutledge_74,6,6.973684210526316,38,6,8,5,6,8,7,8,7,8,6,8,6,4,5,7,6,7,5,6,6,8,5,7,5,6,6,8,10,10,8,7,6,8,9,7,9,8,9
77,solle,26,solle_26,7,6.973684210526316,38,8,8,6,8,7,7,8,6,6,8,8,8,6,7,5,6,7,6,4,8,6,5,8,6,7,7,7,7,9,4,6,5,8,9,8,9,8,9
78,keller,01,keller_01,9,6.947368421052632,38,7,8,5,6,8,6,7,8,9,6,7,6,6,5,7,7,6,4,8,7,7,5,6,6,6,7,8,7,10,8,7,6,6,9,7,9,8,9
79,keller,09,keller_09,9,6.947368421052632,38,7,8,6,6,8,5,7,8,9,6,7,6,6,5,7,6,7,5,8,8,7,5,6,6,6,6,8,10,9,8,7,7,6,9,6,8,7,8
80,keller,21,keller_21,9,6.947368421052632,38,7,8,5,7,8,6,7,8,9,6,7,6,6,5,7,6,8,6,7,8,7,5,6,6,6,6,8,7,10,7,8,7,6,9,6,8,7,8
81,rutledge,109,rutledge_109,7,6.947368421052632,38,8,9,7,8,7,6,8,7,8,8,7,8,5,6,7,4,6,3,7,4,7,5,8,7,6,6,7,10,10,5,6,6,7,9,8,9,8,7
82,rutledge,116,rutledge_116,7,6.947368421052632,38,7,8,6,7,8,6,7,7,8,8,7,8,6,5,4,6,7,5,8,4,7,5,7,6,6,6,8,7,9,7,7,6,8,9,8,9,8,9
83,rutledge,119,rutledge_119,7,6.947368421052632,38,8,9,6,8,8,7,8,8,9,7,8,7,4,5,7,6,8,7,7,5,8,5,8,6,6,7,7,7,10,7,8,6,7,8,5,7,4,6
84,rutledge,14,rutledge_14,7,6.947368421052632,38,8,8,6,8,7,7,7,7,7,9,7,8,4,5,7,5,6,8,6,5,7,5,8,6,6,7,7,7,10,7,7,6,8,9,6,8,7,8
85,rutledge,228,rutledge_228,6,6.947368421052632,38,7,8,6,7,8,6,8,7,9,6,8,6,6,5,8,6,7,4,7,5,7,5,7,6,6,7,8,10,10,8,7,5,6,9,5,9,8,7
86,rutledge,246,rutledge_246,6,6.947368421052632,38,7,8,6,6,7,6,8,7,8,6,7,6,5,6,7,6,7,4,7,5,8,5,7,6,6,6,6,10,10,8,7,6,8,9,7,9,8,9
87,rutledge,265,rutledge_265,7,6.947368421052632,38,8,8,6,8,7,7,8,7,8,9,7,8,5,4,7,6,7,4,6,3,6,4,8,6,6,6,7,10,10,8,6,7,8,7,6,9,8,9
88,rutledge,46,rutledge_46,7,6.947368421052632,38,8,9,6,8,7,8,7,6,8,8,6,8,5,4,7,4,6,3,8,5,8,4,8,7,6,7,7,7,10,7,7,6,8,9,8,9,7,8
89,brueggemann,67,brueggemann_67,6,6.921052631578948,38,8,9,7,8,8,7,6,7,8,8,5,8,5,6,5,7,6,4,5,4,7,5,6,6,6,6,8,10,9,8,7,5,6,9,8,9,9,8
90,keller,03,keller_03,9,6.921052631578948,38,7,8,6,7,8,6,6,8,9,6,7,6,6,7,5,6,7,4,7,8,8,5,6,6,7,7,7,10,9,7,7,6,6,9,6,8,7,8
91,rutledge,115,rutledge_115,7,6.921052631578948,38,8,7,6,7,8,7,7,7,8,8,6,8,5,6,6,5,7,4,7,4,8,4,7,6,6,6,8,10,10,7,7,6,8,8,7,9,7,8
92,rutledge,216,rutledge_216,7,6.921052631578948,38,8,8,6,7,8,7,6,7,8,6,5,6,6,5,6,7,7,4,8,3,8,5,7,6,6,7,8,7,10,8,8,6,7,9,7,9,9,8
93,rutledge,241,rutledge_241,7,6.921052631578948,38,8,9,7,8,8,7,7,7,8,9,7,8,4,3,7,4,6,5,6,4,6,4,8,6,6,7,7,10,10,8,7,5,6,9,7,8,9,8
94,rutledge,278,rutledge_278,7,6.921052631578948,38,8,8,6,8,7,7,7,6,7,8,7,8,5,4,7,6,6,3,7,4,6,5,8,6,7,7,7,10,10,8,6,6,7,8,7,9,8,9
95,rutledge,70,rutledge_70,7,6.921052631578948,38,7,8,7,7,8,6,7,6,8,9,7,8,4,5,7,6,6,7,5,5,8,5,8,6,6,6,7,7,10,7,7,6,8,9,7,8,7,8
96,solle,27,solle_27,7,6.921052631578948,38,7,8,6,7,8,6,8,7,7,8,8,8,4,6,7,3,5,6,4,8,7,6,8,6,7,7,7,10,7,5,6,6,7,9,8,9,8,9
97,brueggemann,55,brueggemann_55,7,6.894736842105263,38,7,8,6,8,7,8,6,7,8,8,6,8,6,5,7,6,7,5,6,4,7,5,6,6,6,7,8,10,9,6,7,5,6,7,9,8,9,8
98,keller,08,keller_08,9,6.894736842105263,38,7,8,6,6,8,5,7,8,8,7,7,7,5,6,7,6,7,8,7,8,8,6,7,6,7,7,8,7,9,8,8,6,7,8,6,5,4,7
99,rutledge,66,rutledge_66,6,6.894736842105263,38,6,8,7,6,8,7,8,7,8,6,8,6,4,5,6,4,5,6,7,5,8,5,7,6,7,7,6,10,9,7,7,6,8,9,7,9,8,9
100,rutledge,71,rutledge_71,6,6.894736842105263,38,8,8,6,7,8,7,8,7,8,6,7,6,5,4,6,5,7,4,6,7,7,5,7,6,6,6,8,7,10,8,7,6,8,9,8,9,8,7
101,taylor,93,taylor_93,4,6.894736842105263,38,8,9,7,8,7,9,8,6,7,9,8,8,2,1,7,3,6,5,6,7,6,5,8,5,6,7,7,7,9,8,6,7,8,8,8,9,8,9
102,brueggemann,116,brueggemann_116,7,6.868421052631579,38,8,9,7,8,7,8,8,7,7,6,8,6,7,5,6,7,4,3,2,4,7,5,7,5,6,7,8,10,8,7,7,8,6,9,8,9,9,8
103,keller,04,keller_04,9,6.868421052631579,38,7,8,6,7,8,6,7,8,8,7,6,6,6,5,7,6,7,4,7,8,7,6,6,6,7,7,8,10,7,8,7,6,6,8,4,7,8,9
104,keller,31,keller_31,9,6.868421052631579,38,7,8,6,6,8,5,7,8,9,6,7,6,5,4,6,5,7,6,7,8,8,5,6,6,7,7,8,10,9,8,7,6,6,9,4,9,8,7
105,keller,36,keller_36,9,6.868421052631579,38,8,9,7,7,8,6,7,7,8,6,7,6,6,5,7,6,8,5,7,7,8,5,7,6,7,7,8,10,10,8,7,5,6,8,4,5,6,7
106,rutledge,06,rutledge_06,6,6.868421052631579,38,6,8,7,7,8,7,8,7,8,6,8,6,4,5,6,5,7,6,7,5,7,5,6,6,6,6,8,7,10,8,7,7,6,8,7,9,8,9
107,rutledge,07,rutledge_07,6,6.868421052631579,38,6,8,7,7,8,7,7,7,8,8,6,8,6,5,7,6,7,4,7,5,8,4,7,6,6,6,8,7,10,6,7,5,6,9,6,9,8,9
108,rutledge,105,rutledge_105,6,6.868421052631579,38,8,9,6,7,8,7,8,7,8,6,7,6,6,5,7,6,5,4,7,8,7,4,6,5,6,6,8,7,10,7,8,6,7,9,7,9,8,6
109,rutledge,174,rutledge_174,7,6.868421052631579,38,7,8,6,8,7,8,6,7,8,8,6,8,5,6,7,5,7,4,8,7,8,4,6,5,6,6,7,7,10,7,7,5,6,8,7,9,8,9
110,rutledge,214,rutledge_214,6,6.868421052631579,38,8,8,6,7,8,7,7,7,8,5,7,6,5,4,7,6,6,5,7,4,7,5,7,6,6,6,8,10,10,8,7,5,6,9,7,9,8,9
111,rutledge,273,rutledge_273,7,6.868421052631579,38,8,8,6,8,7,7,7,6,7,8,6,8,6,5,7,4,6,3,6,4,7,5,8,6,7,7,7,10,10,8,7,5,6,8,7,9,8,9
112,rutledge,287,rutledge_287,7,6.868421052631579,38,8,8,6,8,7,7,6,7,8,8,6,8,4,6,7,5,6,7,6,5,7,5,8,6,6,7,7,10,10,6,7,5,6,9,6,8,7,8
113,rutledge,290,rutledge_290,9,6.868421052631579,38,8,8,6,7,8,7,7,7,8,7,6,6,6,5,7,4,7,5,8,5,8,6,7,7,7,7,8,10,10,8,8,6,7,7,4,5,6,8
114,rutledge,30,rutledge_30,7,6.868421052631579,38,8,9,6,7,8,7,7,7,8,8,7,8,4,3,7,5,6,7,6,5,7,5,8,6,7,7,7,7,10,8,7,5,6,9,5,9,8,7
115,rutledge,342,rutledge_342,7,6.868421052631579,38,8,8,6,8,7,6,7,7,7,8,6,8,5,6,7,4,6,3,7,4,7,5,8,6,6,7,7,10,10,7,7,6,8,9,6,9,8,7
116,rutledge,348,rutledge_348,7,6.868421052631579,38,8,7,6,8,7,8,6,7,8,8,6,8,5,6,4,5,7,3,7,4,7,5,8,6,6,6,7,10,10,8,7,6,6,8,7,9,9,8
117,rutledge,48,rutledge_48,6,6.868421052631579,38,7,8,6,7,8,6,8,7,8,6,7,6,6,5,7,6,6,4,7,4,7,4,7,6,6,6,8,10,10,8,7,6,6,8,7,9,8,9
118,rutledge,80,rutledge_80,7,6.868421052631579,38,8,8,5,8,7,6,8,6,7,8,8,7,5,4,7,5,6,6,6,7,7,6,7,7,7,7,8,7,10,6,7,5,6,9,7,8,7,8
119,taylor,78,taylor_78,4,6.868421052631579,38,7,6,6,8,7,9,8,6,8,9,8,8,4,2,6,3,7,5,7,5,6,5,8,6,7,7,7,7,9,8,6,7,8,7,8,9,8,9
120,brueggemann,173,brueggemann_173,6,6.842105263157895,38,8,9,6,7,8,8,8,7,8,6,8,6,4,5,7,6,6,5,6,5,7,5,6,6,6,6,8,7,9,8,7,5,6,9,8,9,8,7
121,brueggemann,178,brueggemann_178,6,6.842105263157895,38,8,9,6,7,8,8,8,7,7,6,8,6,6,5,8,6,7,7,5,4,6,5,7,6,6,6,8,7,7,6,7,5,6,9,7,9,8,9
122,brueggemann,30,brueggemann_30,7,6.842105263157895,38,7,8,7,8,7,9,6,7,8,8,6,8,6,5,4,7,6,5,7,3,8,4,6,6,6,6,8,7,9,8,8,6,7,9,6,9,8,7
123,brueggemann,57,brueggemann_57,6,6.842105263157895,38,7,8,6,7,8,8,8,7,8,6,7,6,7,6,5,6,7,6,4,5,7,5,6,6,6,6,8,10,8,6,8,7,6,9,7,8,7,8
